fish,stage,day,distance,yds,trial
fish10,Baseline,10,5.704412082038905,1.6054258861836237,2
fish10,Baseline,10,9.106939536495435,-4.632872555586726,3
fish10,Baseline,10,3.144826179511579,-0.8815568464924172,4
fish10,Baseline,10,8.017783053656778,-6.549292066915303,5
fish10,Baseline,10,8.304684421009165,-4.975592584568877,6
fish10,Baseline,11,6.772782171610797,-1.4439319338536367,1
fish10,Baseline,11,6.580437219850286,-2.920386049055456,2
fish10,Baseline,11,5.744781953961854,-2.7975517125664604,3
fish10,Baseline,11,2.942478683181562,-0.4776024365163229,4
fish10,Baseline,11,2.412762597923693,-0.1618350694743951,5
fish10,Baseline,11,2.840026109079711,-0.0819226884939238,6
fish10,Baseline,12,10.551307409965831,-3.52504600754271,1
fish10,Baseline,12,2.410615715279383,-0.1980637843868685,2
fish10,Baseline,12,2.974612635192761,0.1806084548995726,3
fish10,Baseline,12,10.4848922100602,-3.80728465971506,4
fish10,Baseline,12,2.305637085435806,-0.0267574316116733,5
fish10,Baseline,12,2.294196541214903,-0.2337458136877763,6
fish10,Baseline,13,2.150813780011992,-0.1517772991568901,1
fish10,Baseline,13,2.2632468073912024,0.0209028167467535,2
fish10,Baseline,13,6.3084595932761625,-0.2017506500972811,3
fish10,Baseline,13,2.55203192576387,-0.2424284867059785,4
fish10,Baseline,13,2.313575223396883,-0.2028919363865424,5
fish10,Baseline,13,4.598085840562053,1.5872848446353836,6
fish10,Baseline,14,2.5409847756557387,-0.0690924892342564,1
fish10,Baseline,14,7.275973886837478,-0.0588347703688983,2
fish10,Baseline,14,7.093574288689578,-4.683141118392637,3
fish10,Baseline,14,7.510231350022937,-3.3233271700501272,4
fish10,Baseline,14,2.163791381202365,-0.2211218694710799,5
fish10,Baseline,14,11.871509345334722,3.3608476248692005,6
